concept	joy	trust	fear	surprise	sadness	disgust	anger	anticipation
gordon	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
rarely	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
ban	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
host	0.07517666516313336	0.19863791146424517	0.0	0.0	0.0	0.0	0.0	0.11484655387094411
erupt	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
luise	0.0	0.0	0.21030330062444247	0.0	0.0	0.0	0.26168614357262104	0.0
disappoint	0.03221857078420001	0.0	0.0	0.0660545234536266	0.11648797450014489	0.0	0.22430240877653232	0.0
scorer	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
surprised	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stealing	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fortune	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beforehand	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
spice	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
artwork	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
error	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
artist	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gallon	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
flat	0.03758833258156668	0.0	0.0	0.15412722139179538	0.20385395537525355	0.0	0.0	0.0
consume	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ahead	0.07517666516313336	0.0	0.0	0.0	0.1359026369168357	0.0	0.0	0.11484655387094411
formula	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
learning	0.15035333032626672	0.0	0.0	0.0	0.0	0.0	0.0	0.11484655387094411
sandcastle	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
States	0.0	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.17226983080641617
farmhand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
nervous	0.010251363431336367	0.0	0.27721798718676505	0.01050867418580423	0.0	0.0	0.0	0.09396536225804518
anywhere	0.0	0.0	0.10515165031222123	0.11559541604384654	0.10192697768762678	0.0	0.13084307178631052	0.0
cupboard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
leah	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
avid	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gain	0.17541221871397786	0.0	0.04673406680543166	0.0	0.045300878972278566	0.0	0.0	0.0
scrapbook	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
camping	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
God	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
iphone	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
Pikes	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arrival	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
Poor	0.0	0.0	0.21030330062444247	0.2311908320876931	0.0	0.0	0.0	0.0
dud	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
legal	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
shaving	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
throw	0.07844521582240004	0.0	0.027430865298840323	0.020103550616321138	0.05317929270658788	0.0717128482390929	0.04551063366480366	0.07489992643757225
getaway	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
smash	0.0	0.0	0.14020220041629497	0.15412722139179538	0.0	0.0	0.17445742904841402	0.0
cafe	0.16914749661705006	0.0	0.0	0.0	0.0	0.0	0.0	0.08613491540320808
freshly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
earre	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
each	0.11276499774470004	0.29795686719636777	0.0	0.0	0.0	0.0	0.0	0.0
nba	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
high	0.15661805242319451	0.016553159288687096	0.03505055010407374	0.012843935115982948	0.011325219743069641	0.0	0.0	0.047852730779560045
bunch	0.09665571235260004	0.0	0.0	0.19816357036087978	0.058243987250072446	0.0	0.0	0.0
yogurt	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neighbor	0.06765899864682003	0.1191827468785471	0.042060660124888495	0.04623816641753861	0.0	0.06597582037996545	0.0	0.06890793232256646
lester	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
