concept	physiological	stability	love	esteem	spiritual growth
erupt	0.33880697050938335	0.0	0.0	0.0	0.0
rarely	0.0	0.0	0.25679809653297075	0.0	0.0
gordon	0.0	0.27791701475912	0.0	0.0	0.0
host	0.0	0.0	0.17119873102198052	0.10923817863397549	0.0
ban	0.0	0.0	0.0	0.0	0.3601366742596811
luise	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
disappoint	0.1452029873611643	0.07940486135974857	0.03668544236185297	0.0	0.05144809632281158
scorer	0.0	0.0	0.0	0.32771453590192645	0.0
surprised	0.0	0.055583402951824006	0.20543847722637662	0.0	0.0
stealing	0.0	0.0	0.0	0.0	0.3601366742596811
fortune	0.11293565683646113	0.09263900491970667	0.0	0.0	0.12004555808656037
beforehand	0.0	0.27791701475912	0.0	0.0	0.0
spice	0.33880697050938335	0.0	0.0	0.0	0.0
artwork	0.0	0.0	0.0	0.0	0.3601366742596811
error	0.0	0.0	0.0	0.0	0.3601366742596811
artist	0.0	0.0	0.12839904826648538	0.0	0.18006833712984055
gallon	0.0	0.0	0.25679809653297075	0.0	0.0
flat	0.0	0.13895850737956	0.04279968275549513	0.054619089316987744	0.06002277904328018
consume	0.0	0.27791701475912	0.0	0.0	0.0
ahead	0.11293565683646113	0.09263900491970667	0.08559936551099026	0.0	0.0
formula	0.0	0.0	0.0	0.32771453590192645	0.0
learning	0.0	0.0	0.0	0.0	0.3601366742596811
farmhand	0.0	0.27791701475912	0.0	0.0	0.0
States	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
sandcastle	0.0	0.0	0.0	0.0	0.3601366742596811
anywhere	0.08470174262734584	0.20843776106934	0.0	0.0	0.0
nervous	0.0	0.12000962000962001	0.035017922254496014	0.11916892214615507	0.024554773244978255
cupboard	0.33880697050938335	0.0	0.0	0.0	0.0
leah	0.0	0.27791701475912	0.0	0.0	0.0
avid	0.0	0.27791701475912	0.0	0.0	0.0
gain	0.037645218945487044	0.06175933661313778	0.0570662436739935	0.10923817863397549	0.040015186028853456
scrapbook	0.0	0.0	0.12839904826648538	0.0	0.18006833712984055
camping	0.0	0.27791701475912	0.0	0.0	0.0
iphone	0.0	0.27791701475912	0.0	0.0	0.0
God	0.0	0.0	0.0	0.0	0.3601366742596811
Pikes	0.0	0.0	0.0	0.0	0.3601366742596811
arrival	0.0	0.0	0.0	0.32771453590192645	0.0
Poor	0.0	0.13895850737956	0.12839904826648538	0.0	0.0
dud	0.0	0.0	0.0	0.0	0.3601366742596811
legal	0.0	0.27791701475912	0.0	0.0	0.0
shaving	0.0	0.0	0.0	0.32771453590192645	0.0
throw	0.04419221354470218	0.0422917196372574	0.10606877900274879	0.09261497753750095	0.007829058136080024
getaway	0.0	0.27791701475912	0.0	0.0	0.0
smash	0.0	0.18527800983941334	0.0	0.10923817863397549	0.0
cafe	0.08470174262734584	0.13895850737956	0.0	0.0	0.09003416856492027
freshly	0.0	0.27791701475912	0.0	0.0	0.0
earre	0.0	0.27791701475912	0.0	0.0	0.0
each	0.16940348525469168	0.0	0.0	0.16385726795096323	0.0
nba	0.0	0.0	0.0	0.0	0.3601366742596811
high	0.018822609472743522	0.05403941953649556	0.049932963214744316	0.11834136018680677	0.07002657555049355
bunch	0.09680199157410954	0.039702430679874286	0.07337088472370594	0.04681636227170378	0.05144809632281158
yogurt	0.0	0.27791701475912	0.0	0.0	0.0
neighbor	0.0	0.055583402951824006	0.07703942895989123	0.0	0.18006833712984055
Bomb	0.0	0.0	0.25679809653297075	0.0	0.0
lester	0.0	0.0	0.0	0.32771453590192645	0.0
bill	0.03985964358933922	0.16348059691712943	0.030211540768584795	0.01927732564128979	0.04236902050113895
kite	0.0	0.0	0.0	0.0	0.3601366742596811
woodsman	0.0	0.13895850737956	0.0	0.0	0.18006833712984055
rita	0.0	0.0	0.25679809653297075	0.0	0.0
include	0.16940348525469168	0.13895850737956	0.0	0.0	0.0
pancake	0.22587131367292226	0.0	0.0	0.0	0.12004555808656037
sweater	0.0	0.27791701475912	0.0	0.0	0.0
dedicate	0.0	0.0	0.25679809653297075	0.0	0.0
duck	0.13552278820375335	0.0	0.10271923861318831	0.0	0.07202733485193621
anxiety	0.0	0.166750208855472	0.051359619306594155	0.0	0.07202733485193621
festival	0.0	0.27791701475912	0.0	0.0	0.0
apprehensive	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
storm	0.0	0.20212146527936	0.0	0.0	0.09821909297991302
quickly	0.03566389163256667	0.20478095824356213	0.0	0.03449626693704489	0.01895456180314111
pleasure	0.16940348525469168	0.0	0.0	0.0	0.18006833712984055
December	0.16940348525469168	0.0	0.0	0.0	0.18006833712984055
espresso	0.33880697050938335	0.0	0.0	0.0	0.0
pair	0.0	0.21615767814598225	0.02853312183699675	0.03641272621132516	0.0
relay	0.0	0.0	0.0	0.32771453590192645	0.0
joey	0.0	0.13895850737956	0.0	0.0	0.18006833712984055
United	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
longer	0.06776139410187668	0.055583402951824006	0.051359619306594155	0.0	0.14405466970387243
pooh	0.0	0.0	0.0	0.32771453590192645	0.0
game	0.009820491898822706	0.012083348467787827	0.07071251933516587	0.17098149699230944	0.04697434881648014
unacceptable	0.0	0.0	0.0	0.32771453590192645	0.0
piano	0.0	0.0	0.0	0.12289295096322242	0.22508542141230067
gut	0.0	0.0	0.0	0.0	0.3601366742596811
pipe	0.0	0.13895850737956	0.12839904826648538	0.0	0.0
palm	0.0	0.0	0.25679809653297075	0.0	0.0
tearful	0.0	0.0	0.0	0.32771453590192645	0.0
nice	0.030800633682671216	0.01263259157996	0.1634169705209814	0.014896115268269384	0.06547939531994201
breadcrumb	0.11293565683646113	0.0	0.08559936551099026	0.0	0.12004555808656037
miss	0.018822609472743522	0.06175933661313778	0.07133280459249187	0.01820636310566258	0.1400531511009871
subpar	0.0	0.27791701475912	0.0	0.0	0.0
daydream	0.0	0.0	0.0	0.0	0.3601366742596811
flinch	0.0	0.27791701475912	0.0	0.0	0.0
crave	0.33880697050938335	0.0	0.0	0.0	0.0
jockey	0.0	0.0	0.0	0.0	0.3601366742596811
yes	0.0	0.055583402951824006	0.15407885791978246	0.0	0.07202733485193621
pouty	0.0	0.0	0.0	0.32771453590192645	0.0
shelby	0.0	0.13895850737956	0.0	0.0	0.18006833712984055
nowhere	0.0	0.27791701475912	0.0	0.0	0.0
tanya	0.0	0.13895850737956	0.0	0.0	0.18006833712984055
mall	0.0	0.0	0.25679809653297075	0.0	0.0
proudly	0.0	0.0	0.0	0.32771453590192645	0.0
compete	0.0	0.0	0.0	0.32771453590192645	0.0
windowless	0.0	0.0	0.25679809653297075	0.0	0.0
will	0.0	0.06947925368978	0.19259857239972808	0.0	0.0
gum	0.22587131367292226	0.0	0.0	0.0	0.12004555808656037
different	0.07529043789097409	0.06175933661313778	0.02853312183699675	0.0	0.16006074411541382
Old	0.0	0.0	0.0	0.0	0.3601366742596811
by	0.056467828418230566	0.046319502459853334	0.04279968275549513	0.16385726795096323	0.0
all	0.11293565683646113	0.0	0.034239746204396106	0.08739054290718039	0.09603644646924829
maddie	0.33880697050938335	0.0	0.0	0.0	0.0
disappear	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
curl	0.0	0.0	0.25679809653297075	0.0	0.0
presidential	0.0	0.0	0.0	0.32771453590192645	0.0
shocked	0.0	0.0	0.25679809653297075	0.0	0.0
skate	0.33880697050938335	0.0	0.0	0.0	0.0
tour	0.0	0.0	0.12839904826648538	0.032771453590192644	0.14405466970387243
sadly	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
freezer	0.2823391420911528	0.046319502459853334	0.0	0.0	0.0
desk	0.028233914209115283	0.046319502459853334	0.08559936551099026	0.10923817863397549	0.03001138952164009
discuss	0.0	0.06947925368978	0.19259857239972808	0.0	0.0
alien	0.0	0.0	0.0	0.32771453590192645	0.0
suite	0.0	0.0	0.25679809653297075	0.0	0.0
online	0.02117543565683646	0.13895850737956	0.04012470258327668	0.030723237740805605	0.0675256264236902
vanilla	0.33880697050938335	0.0	0.0	0.0	0.0
front	0.04840099578705477	0.11910729203962286	0.012228480787284323	0.04681636227170378	0.08574682720468597
special	0.08470174262734584	0.03473962684489	0.09629928619986404	0.040964316987740806	0.04501708428246014
tooth	0.0	0.27791701475912	0.0	0.0	0.0
Canada	0.0	0.06947925368978	0.06419952413324269	0.08192863397548161	0.09003416856492027
lotion	0.0	0.27791701475912	0.0	0.0	0.0
seek	0.0	0.055583402951824006	0.10271923861318831	0.06554290718038529	0.07202733485193621
physical	0.0	0.27791701475912	0.0	0.0	0.0
comedy	0.11293565683646113	0.0	0.08559936551099026	0.10923817863397549	0.0
narrow	0.0	0.27791701475912	0.0	0.0	0.0
heavy	0.0	0.0	0.25679809653297075	0.0	0.0
postpone	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
if	0.0	0.18527800983941334	0.0	0.10923817863397549	0.0
squirrel	0.19360398314821908	0.07940486135974857	0.0	0.04681636227170378	0.0
diagnosis	0.0	0.27791701475912	0.0	0.0	0.0
quiz	0.0	0.0	0.0	0.32771453590192645	0.0
bird	0.09964910897334806	0.08174029845856472	0.015105770384292398	0.0	0.12710706150341686
peppermint	0.16940348525469168	0.0	0.12839904826648538	0.0	0.0
much	0.05155758246881921	0.07854176504062088	0.050243105843407326	0.056993832330769816	0.07046152322472021
smell	0.07260149368058215	0.1786609380594343	0.0	0.04681636227170378	0.0
spider	0.0	0.27791701475912	0.0	0.0	0.0
mainland	0.0	0.09263900491970667	0.08559936551099026	0.0	0.12004555808656037
document	0.0	0.27791701475912	0.0	0.0	0.0
anymore	0.0	0.10421888053467	0.09629928619986404	0.040964316987740806	0.04501708428246014
swipe	0.0	0.27791701475912	0.0	0.0	0.0
ad	0.08470174262734584	0.13895850737956	0.0	0.08192863397548161	0.0
slammed	0.0	0.27791701475912	0.0	0.0	0.0
console	0.0	0.0	0.0	0.0	0.3601366742596811
moth	0.0	0.27791701475912	0.0	0.0	0.0
narrowly	0.0	0.0	0.0	0.32771453590192645	0.0
trompe	0.0	0.0	0.0	0.0	0.3601366742596811
urinate	0.0	0.27791701475912	0.0	0.0	0.0
tea	0.16940348525469168	0.0	0.06419952413324269	0.0	0.09003416856492027
eviction	0.0	0.27791701475912	0.0	0.0	0.0
League	0.0	0.0	0.0	0.32771453590192645	0.0
house	0.01694034852546917	0.13895850737956	0.07703942895989123	0.032771453590192644	0.018006833712984054
walgreen	0.0	0.0	0.0	0.0	0.3601366742596811
nasty	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
want	0.040396215714580325	0.04382537540432277	0.07901479893322177	0.06176158561228614	0.08172332223585071
allowance	0.0	0.27791701475912	0.0	0.0	0.0
CHristmas	0.0	0.0	0.0	0.0	0.3601366742596811
greatly	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
shovel	0.0	0.18527800983941334	0.08559936551099026	0.0	0.0
shelter	0.0	0.07940486135974857	0.18342721180926483	0.0	0.0
action	0.0	0.27791701475912	0.0	0.0	0.0
lion	0.0	0.27791701475912	0.0	0.0	0.0
loose	0.0	0.0	0.25679809653297075	0.0	0.0
ungrateful	0.0	0.0	0.0	0.32771453590192645	0.0
ancient	0.0	0.0	0.0	0.0	0.3601366742596811
receive	0.0	0.11910729203962286	0.05502816354277945	0.07022454340755567	0.05144809632281158
zombie	0.0	0.0	0.08559936551099026	0.10923817863397549	0.12004555808656037
expectation	0.0	0.0	0.0	0.32771453590192645	0.0
perform	0.0	0.0	0.023345281502997344	0.20854561375577138	0.09821909297991302
dove	0.0	0.0	0.0	0.0	0.3601366742596811
poison	0.33880697050938335	0.0	0.0	0.0	0.0
engage	0.0	0.0	0.25679809653297075	0.0	0.0
100	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
african	0.0	0.0	0.25679809653297075	0.0	0.0
highschool	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
wussie	0.0	0.0	0.0	0.32771453590192645	0.0
poorly	0.0	0.0	0.12839904826648538	0.16385726795096323	0.0
frisbee	0.33880697050938335	0.0	0.0	0.0	0.0
counter	0.16940348525469168	0.13895850737956	0.0	0.0	0.0
Boston	0.06776139410187668	0.11116680590364801	0.051359619306594155	0.06554290718038529	0.0
dangerous	0.0	0.27791701475912	0.0	0.0	0.0
resold	0.0	0.27791701475912	0.0	0.0	0.0
neat	0.0	0.27791701475912	0.0	0.0	0.0
yell	0.03985964358933922	0.06539223876685177	0.030211540768584795	0.17349593077160813	0.0
attractive	0.0	0.0	0.25679809653297075	0.0	0.0
margarine	0.33880697050938335	0.0	0.0	0.0	0.0
dodged	0.33880697050938335	0.0	0.0	0.0	0.0
championship	0.0	0.0	0.032099762066621344	0.16385726795096323	0.1350512528473804
gaming	0.0	0.0	0.0	0.0	0.3601366742596811
check	0.03872079662964382	0.11910729203962286	0.05869670777896475	0.04681636227170378	0.030868857793686953
practical	0.0	0.27791701475912	0.0	0.0	0.0
ashamed	0.0	0.0	0.12839904826648538	0.16385726795096323	0.0
goldfish	0.0	0.0	0.25679809653297075	0.0	0.0
circle	0.0	0.09263900491970667	0.0	0.0	0.24009111617312073
payment	0.0	0.27791701475912	0.0	0.0	0.0
flood	0.0	0.09263900491970667	0.0	0.0	0.24009111617312073
cookout	0.0	0.27791701475912	0.0	0.0	0.0
coldness	0.0	0.0	0.0	0.0	0.3601366742596811
emergency	0.0	0.13895850737956	0.0	0.16385726795096323	0.0
every	0.0235282618409294	0.06175933661313778	0.10343256665911323	0.054619089316987744	0.05001898253606682
saved	0.0	0.0	0.25679809653297075	0.0	0.0
needle	0.0	0.27791701475912	0.0	0.0	0.0
instrument	0.0	0.0	0.0	0.16385726795096323	0.18006833712984055
gigantic	0.33880697050938335	0.0	0.0	0.0	0.0
station	0.04840099578705477	0.15880972271949714	0.07337088472370594	0.0	0.0
just	0.0	0.27791701475912	0.0	0.0	0.0
mailbox	0.0	0.0	0.0	0.32771453590192645	0.0
cream	0.2710455764075067	0.013895850737956001	0.025679809653297078	0.016385726795096322	0.0
Sub	0.0	0.0	0.0	0.0	0.3601366742596811
'	0.037645218945487044	0.03087966830656889	0.114132487347987	0.07282545242265032	0.040015186028853456
lot	0.04371702845282366	0.04482532496114839	0.07041238130742747	0.07928577481498221	0.06970387243735764
